Team,Name,Torneo,Goals,Succ. dribbles,Tackles,Assists,Accurate passes %,Big chances missed,Total shots,Goal conversion %,Interceptions,Clearances,Errors leading to goal,Big chances created,Accurate passes,Key passes,Saves,Clean sheet,Penalties saved,Saves from inside box,Runs out
Envigado FC,Henry Mosquera,Apertura 2023A,3.0,22.0,8.0,1.0,77.04,1.0,19.0,15.79,2.0,1.0,0.0,1.0,151.0,13.0,,,,,
Boyacá Chicó FC,Henry Plazas,Clausura 2024B,2.0,2.0,13.0,2.0,77.04,0.0,35.0,5.71,9.0,52.0,2.0,1.0,490.0,8.0,,,,,
Boyacá Chicó FC,Henry Plazas,Apertura 2024A,6.0,5.0,24.0,0.0,75.88,0.0,43.0,13.95,13.0,39.0,1.0,1.0,560.0,8.0,,,,,
Boyacá Chicó FC,Henry Plazas,Clausura 2023B,0.0,4.0,23.0,1.0,71.52,0.0,30.0,0.0,16.0,60.0,1.0,1.0,447.0,6.0,,,,,
Boyacá Chicó FC,Henry Plazas,Apertura 2023A,5.0,6.0,26.0,0.0,77.31,1.0,53.0,9.43,32.0,61.0,0.0,0.0,811.0,9.0,,,,,
Independiente Santa Fe,Hollman Mccormick,Clausura 2023B,0.0,0.0,1.0,0.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,
Independiente Medellín,Homer Martinez,Apertura 2025A,0.0,1.0,9.0,0.0,84.97,0.0,9.0,0.0,6.0,6.0,0.0,1.0,328.0,5.0,,,,,
Independiente Medellín,Homer Martinez,Clausura 2024B,1.0,4.0,10.0,0.0,82.31,1.0,13.0,7.69,6.0,5.0,0.0,0.0,377.0,5.0,,,,,
Junior Barranquilla,Homer Martinez,Apertura 2024A,0.0,8.0,16.0,0.0,85.58,0.0,11.0,0.0,4.0,25.0,0.0,1.0,653.0,12.0,,,,,
Junior Barranquilla,Homer Martinez,Clausura 2023B,1.0,7.0,56.0,0.0,82.42,2.0,17.0,5.88,15.0,16.0,0.0,0.0,844.0,10.0,,,,,
Junior Barranquilla,Homer Martinez,Apertura 2023A,0.0,4.0,19.0,0.0,85.63,0.0,6.0,0.0,13.0,12.0,0.0,1.0,417.0,4.0,,,,,
Junior Barranquilla,Howell Mena,Apertura 2025A,0.0,0.0,2.0,0.0,80.3,0.0,0.0,0.0,3.0,1.0,0.0,0.0,53.0,0.0,,,,,
Junior Barranquilla,Howell Mena,Clausura 2024B,0.0,0.0,14.0,0.0,81.45,0.0,1.0,0.0,3.0,23.0,0.0,0.0,259.0,1.0,,,,,
Junior Barranquilla,Howell Mena,Apertura 2024A,0.0,0.0,10.0,0.0,88.45,0.0,2.0,0.0,1.0,7.0,0.0,0.0,222.0,0.0,,,,,
Once Caldas,Hugo Dorrego,Apertura 2025A,0.0,0.0,2.0,0.0,85.71,0.0,9.0,0.0,0.0,3.0,0.0,0.0,96.0,4.0,,,,,
Independiente Santa Fe,Hugo Rodallega,Apertura 2025A,6.0,3.0,3.0,0.0,74.88,0.0,41.0,14.63,0.0,18.0,0.0,1.0,152.0,7.0,,,,,
Independiente Santa Fe,Hugo Rodallega,Clausura 2024B,6.0,6.0,8.0,5.0,71.07,3.0,80.0,7.5,1.0,16.0,0.0,4.0,285.0,29.0,,,,,
Independiente Santa Fe,Hugo Rodallega,Apertura 2024A,12.0,7.0,3.0,3.0,65.25,4.0,107.0,11.21,0.0,27.0,0.0,4.0,308.0,26.0,,,,,
Independiente Santa Fe,Hugo Rodallega,Clausura 2023B,6.0,1.0,1.0,1.0,71.82,0.0,38.0,15.79,1.0,3.0,0.0,1.0,158.0,13.0,,,,,
Independiente Santa Fe,Hugo Rodallega,Apertura 2023A,6.0,10.0,3.0,0.0,73.55,3.0,69.0,8.7,8.0,18.0,0.0,2.0,203.0,19.0,,,,,
Llaneros FC,Humberto Acevedo,Apertura 2025A,0.0,0.0,0.0,0.0,87.04,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,0.0,2.0,0.0,0.0,2.0,0.0
América de Cali,Iago Falque,Apertura 2023A,4.0,13.0,6.0,2.0,83.69,0.0,37.0,10.81,4.0,2.0,0.0,2.0,390.0,20.0,,,,,
Jairo Junior Ditta Ruiz,Independiente Santa Fe,Clausura 2023B,0.0,0.0,0.0,0.0,83.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,
Alianza Valledupar FC,Isaac Camargo,Clausura 2024B,0.0,2.0,1.0,0.0,77.42,0.0,4.0,0.0,0.0,1.0,0.0,0.0,24.0,2.0,,,,,
Deportivo Cali,Isaac Camargo,Apertura 2024A,1.0,3.0,4.0,1.0,79.31,0.0,5.0,20.0,0.0,2.0,0.0,0.0,69.0,4.0,,,,,
